,Job Title,Rating,Size,Type of ownership,Industry,Revenue,Competitors,Salary_min,Salary_max
66,Data Analyst,3.0, 50 , Private,IT Services, 5 M ,-1,51,88 
67,Portfolio Data Analyst,3.7, 5000 , Private,Investment Banking & Asset Management, 1 B ,"Fidelity Investments, BlackRock, Putnam Investments",51,88 
68,Data Science Analyst,-1.0,-1,Other,-1,-1,-1,51,88 
69,Data/Reporting Analyst,3.9, 1000 , Private,IT Services, 500 M ,-1,51,88 
70,Data Analyst 2,3.7, 200 , Private,Staffing & Outsourcing, 100 M ,"Artech Information Systems, Mindlance, Tech Mahindra",51,88 
71,Entry Level Data Analyst,-1.0, 50 , Private,Consulting,Unknown / Non-Applicable,-1,51,88 
72,Marketing Data Analyst,3.6, 500 , Public,-1,Unknown / Non-Applicable,-1,51,88 
73,Data/Information Mgt Analyst,3.7,10000 , Public,Investment Banking & Asset Management,10 B ,-1,51,88 
74,Business Data Analyst,3.6, 1000 , Private,Staffing & Outsourcing, 500 M ,-1,51,88 
75,Information Systems Officer (Data Analyst),4.1,10000 ,Other,Federal Agencies,Unknown / Non-Applicable,-1,51,88 
76,Media Science Big Data Analyst,3.5,10000 , Public,TV Broadcast & Cable Networks, 10 B ,-1,51,88 
77,Data Analyst,3.7, 5000 ,Other,Staffing & Outsourcing,Unknown / Non-Applicable,-1,51,88 
78,Data Analyst,5.0, 50 , Private,-1,Unknown / Non-Applicable,-1,51,88 
79,Data analyst with Python,4.0, 50 , Private,Staffing & Outsourcing, 5 M ,-1,51,88 
80,Data Analyst,4.8, 200 , Private,-1,Unknown / Non-Applicable,-1,51,88 
81,Data Analyst,5.0, 50 , Private,Internet,Unknown / Non-Applicable,-1,51,88 
82,"Healthcare Data Analyst, Qsight",3.3, 1000 , Private,Research & Development,Unknown / Non-Applicable,"Coleman Research, AlphaSights, Third Bridge",51,88 
83,BA/Data Analyst,4.1, 1000 , Private,Staffing & Outsourcing, 500 M ,-1,51,88 
84,Data Analyst Python,4.0, 50 , Private,Accounting,Less than 1 M ,-1,51,88 
85,"Data Analyst, Bitcoin Trading Firm",-1.0,Unknown, Private,-1,Unknown / Non-Applicable,-1,51,88 
86,Data Analyst-BA,1.0, 50 , Private,IT Services,Less than 1 M ,-1,51,88 
87,Data Analytics Solutions Analyst,3.1, 200 , Private,Consulting, 25 M ,-1,51,88 
88,Quantitative Data Analyst,4.5, 5000 , Private,Insurance Carriers,Unknown / Non-Applicable,-1,51,88 
89,Data Analyst,3.4, 5000 ,Other,Brokerage Services, 1 B ,-1,51,88 
90,Data Analyst,-1.0,-1,Other,-1,-1,-1,51,87 
91,"Descriptive Analytics Data Analyst, IB",3.6, 5000 , Public,Investment Banking & Asset Management, 5 B ,-1,51,87 
92,Data Analyst,4.1, 5000 , Public,Consulting, 1 B ,"Deloitte, Huron Consulting Group, Point B",51,87 
93,Data Analyst,4.4, 500 , Private,IT Services, 25 M ,-1,51,87 
94,Data Analyst,3.8, 5000 ,Other,Staffing & Outsourcing, 5 B ,"TEKsystems, Insight Global, Accenture",51,87 
95,Data Analyst,3.2, 50 , Private,Consulting, 5 M ,-1,51,87 
96,Data Analyst,-1.0, 50 , Private,Food & Beverage Stores,Unknown / Non-Applicable,-1,51,87 
97,Business Data Analyst,3.8, 1000 , Private,Consulting,Unknown / Non-Applicable,-1,51,87 
98,Data Analyst,4.7, 500 ,Other,Health Care Services & Hospitals,Unknown / Non-Applicable,-1,51,87 
99,Healthcare Data Analyst,2.3, 50 ,Other,-1, 25 M ,-1,51,87 
100,Supply Chain Data Analyst,3.8, 5000 , Public,"Health, Beauty, & Fitness",Unknown / Non-Applicable,-1,51,87 
101,Data Analyst - IBM Tool Set,4.6, 500 , Private,Staffing & Outsourcing, 25 M ,-1,51,87 
102,Analyst-Data Integrity,3.0, 5000 , Public,Health Care Services & Hospitals, 2 B ,-1,51,87 
103,"Reference Data Operations Analyst - Index Instrument, Associate",3.9,10000 , Public,Investment Banking & Asset Management,10 B ,-1,51,87 
104,Data Analyst,3.0, 500 ,Other,Social Assistance, 50 M ,-1,51,87 
105,Data & Service Health Analyst,4.2, 200 , Private,-1,Unknown / Non-Applicable,-1,51,87 
106,Data/Systems Analyst,5.0, 200 , Private,Consulting, 10 M ,-1,51,87 
107,Data Analyst,4.0, 1000 , Private,IT Services, 100 M ,-1,51,87 
108,Data Analyst,-1.0, 200 ,Other,-1,Unknown / Non-Applicable,-1,51,87 
109,Data Analyst,-1.0,-1,Other,-1,-1,-1,51,87 
110,Data Analyst Intern,3.6, 200 , Private,IT Services,Unknown / Non-Applicable,-1,51,87 
111,"Data Analytics Analyst or Associate, Cowen Sustainable Investments",3.7, 1000 , Public,Investment Banking & Asset Management, 500 M ,"Jefferies, Piper Sandler, FBR",51,87 
112,Data Reporting Analyst,3.5,10000 , Public,Staffing & Outsourcing, 5 B ,"Adecco, Manpower",51,87 
113,Data Analyst,2.8, 200 ,Other,Computer Hardware & Software, 50 M ,"Ibotta, GutCheck",51,87 
114,Data Analyst,5.0, 50 , Private,Staffing & Outsourcing,Unknown / Non-Applicable,-1,51,87 
115,Data Analyst,3.8,10000 , Public,Enterprise Software & Network Solutions,10 B ,"Accenture, CGI, Sopra Steria",51,87 
116,ERP Data Analyst,3.4, 5000 ,Other,Social Assistance, 500 M ,-1,51,87 
117,Data Analyst,3.6, 1000 , Private,Biotech & Pharmaceuticals, 10 M ,-1,51,87 
118,Healthcare Data/Reporting Analyst,-1.0, 50 , Private,Health Care Services & Hospitals,Unknown / Non-Applicable,-1,51,87 
119,PBM Data Analyst,3.2, 5000 ,Other,Insurance Carriers, 500 M ,-1,51,87 
120,Data Analyst (Temporary Assignment),3.8, 200 ,Other,"Health, Beauty, & Fitness",Unknown / Non-Applicable,-1,59,85 
121,Data Analyst,3.5,10000 , Private,Insurance Agencies & Brokerages,10 B ,-1,59,85 
122,Market Data Analyst,3.5, 50 , Private,Staffing & Outsourcing, 5 M ,-1,59,85 
123,Data Analyst,4.1, 50 , Private,-1,Unknown / Non-Applicable,-1,59,85 
124,Junior Data Analyst,5.0, 200 , Private,IT Services, 100 M ,-1,59,85 
125,Microsoft Dynamics CRM Data Analyst,3.7,10000 , Public,IT Services,10 B ,"Amazon, Accenture, Microsoft",59,85 
126,Practice Analyst Data,4.0,10000 ,Other,Health Care Services & Hospitals,10 B ,"Catholic Health System, NewYork-Presbyterian Hospital",59,85 
127,Buyside - Data Scientist/Research Analyst,3.3, 500 , Private,Staffing & Outsourcing, 50 M ,-1,59,85 
128,Data Analyst - Healthcare Provider Networks and Formularies,2.9, 50 , Private,Internet,Unknown / Non-Applicable,-1,59,85 
129,Electronic Trading Data Analyst,3.6,10000 , Public,Investment Banking & Asset Management,10 B ,RBC,59,85 
130,"Data Analyst, Center for Developing Brain",3.2, 500 ,Other,Health Care Services & Hospitals, 50 M ,-1,59,85 
131,Data Processing & Performance Analyst,3.1, 200 , Private,Computer Hardware & Software, 5 M ,-1,59,85 
132,Business Analyst - Data Analyst,3.4, 500 ,Other,Staffing & Outsourcing,Unknown / Non-Applicable,-1,59,85 
133,Data Analyst with Rochade,4.0, 1000 , Private,IT Services, 100 M ,-1,59,85 
134,Advertising Data Analyst,4.3, 200 , Private,TV Broadcast & Cable Networks, 10 M ,-1,59,85 
135,Product Analyst - Data,2.7,10000 , Public,Gambling, 5 B ,Sky Betting & Gaming,59,85 
136,Senior Data Analyst,4.1, 5000 ,Other,Video Games, 25 M ,-1,59,85 
137,Data Analyst,4.4, 50 , Private,-1, 5 M ,-1,59,85 
138,Market Research Data Analyst - Physician Technology,3.1, 5000 ,Other,IT Services, 500 M ,"IQVIA, GlobalData",59,85 
139,Data Analyst,3.0, 50 , Private,-1,Unknown / Non-Applicable,-1,59,85 
140,Look ML Data Analyst,2.9, 500 , Private,Accounting,Unknown / Non-Applicable,-1,59,85 
141,Data Collection Analyst,3.9,10000 ,Other,Colleges & Universities, 5 B ,-1,59,85 
142,Data Analyst,4.2, 500 , Private,IT Services, 25 M ,-1,59,85 
143,DATA ENTRY/ BILLING ANALYST,3.9, 5000 , Private,Research & Development,Unknown / Non-Applicable,-1,59,85 
144,Student Persistence Initiative Data Analyst/Scientist,4.2,10000 ,Other,Colleges & Universities, 500 M ,-1,59,85 
145,Data Quality Analyst,-1.0, 50 , Private,Architectural & Engineering Services, 5 M ,-1,59,85 
146,Data Governance Analyst,5.0, 200 , Private,Consulting, 10 M ,-1,59,85 
147,Sr. Business Intelligence Engineer / Data Analyst,3.9,10000 , Public,Internet,10 B ,"Google, Microsoft, Walmart",59,85 
148,Data Analyst,3.4,Unknown, Private,-1,Unknown / Non-Applicable,-1,59,85 
149,Data Analyst,2.9, 500 , Private,Accounting,Unknown / Non-Applicable,-1,59,85 
150,Data Analyst,4.0,10000 ,Other,Health Care Services & Hospitals, 10 B ,"NewYork-Presbyterian Hospital, Northwell Health",43,76 
151,Healthcare Data/Reporting Analyst,3.6, 200 , Private,Health Care Services & Hospitals,Unknown / Non-Applicable,"Honor, HomeHero",43,76 
152,Data Analyst I - Geriatrics and Palliative Care,3.4,10000 ,Other,Health Care Services & Hospitals, 2 B ,-1,43,76 
153,Data Analyst,-1.0,-1,Other,-1,-1,-1,43,76 
154,Data Analyst/Rochade,3.3, 200 , Private,IT Services, 25 M ,-1,43,76 
155,"Data Analyst, Revenue Analytics",3.2, 500 , Private,-1, 50 M ,-1,43,76 
156,Data Analyst,3.8, 200 ,Other,Social Assistance, 25 M ,-1,43,76 
157,Data Analyst,-1.0,-1,Other,-1,-1,-1,43,76 
158,"Data Analyst II, Division of Gastroenterology (Research)",3.4,10000 ,Other,Health Care Services & Hospitals, 2 B ,-1,43,76 
159,"Data Analyst, Student Success Program",3.2, 500 ,Other,Health Care Services & Hospitals, 50 M ,-1,43,76 
160,Big Data QA Analyst with Jupyter notebook,3.2, 200 , Private,"Health, Beauty, & Fitness", 25 M ,-1,43,76 
161,"Analyst, Data Centers Industry",3.3, 500 , Private,Research & Development,Unknown / Non-Applicable,"Gartner, Forrester, IDC",43,76 
162,Data Analyst,-1.0,-1,Other,-1,-1,-1,43,76 
163,Financial - Data Analyst,3.8, 200 , Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,-1,43,76 
164,Data Analyst with Data Scanning and Profiling,3.3, 200 , Private,IT Services, 25 M ,-1,43,76 
165,Business Analyst - Data Governance,4.1, 5000 ,Other,Video Games, 25 M ,-1,43,76 
166,Senior Data Analyst - Health Economist,2.9, 50 , Private,Internet,Unknown / Non-Applicable,-1,43,76 
167,Lead Data Insights Analyst,-1.0,Unknown,Other,-1,Unknown / Non-Applicable,-1,43,76 
168,Research Analyst (Data Science),3.4, 1000 , Private,Consulting, 500 M ,"Edelman, Burson-Marsteller, FleishmanHillard",43,76 
169,Data Management Analyst,2.5, 500 ,Other,Social Assistance, 50 M ,-1,43,76 
170,Business Analyst / Data Analyst,4.4, 50 , Private,IT Services, 5 M ,-1,43,76 
171,Healthcare Data/Reporting Analyst,3.9, 1000 , Private,IT Services, 500 M ,-1,43,76 
172,Clinical Data Analyst,2.3, 50 ,Other,-1, 25 M ,-1,43,76 
173,Sr. Data Profiling Analyst,3.6,10000 , Public,Investment Banking & Asset Management,10 B ,"Deutsche Bank, Credit Suisse, Morgan Stanley",43,76 
174,"Data Analytics Analyst or Associate, Cowen Sustainable Investments",-1.0, 50 ,Other,-1,Unknown / Non-Applicable,-1,43,76 
175,Data Analyst,3.6, 1000 , Private,Consulting, 100 M ,"Appen, Lionbridge",43,76 
176,Data Analyst,3.3, 500 , Private,Banks & Credit Unions, 100 M ,-1,43,76 
177,"Sr. Data Analyst, Revenue Analytics, Peacock",3.8,10000 , Public,TV Broadcast & Cable Networks,10 B ,-1,43,76 
178,Senior Data Analyst,3.7, 50 , Private,Internet,Unknown / Non-Applicable,-1,43,76 
179,Data Analyst,-1.0,Unknown, Private,-1,Unknown / Non-Applicable,-1,43,76 
180,Senior Data Analyst - Data Cataloging / Data Profiling,3.6, 5000 , Public,IT Services, 1 B ,-1,43,76 
181,Data/Report Analyst,4.0, 50 , Private,Accounting,Less than 1 M ,-1,60,110 
182,Senior Data Analyst,4.1, 500 , Private,Advertising & Marketing,Unknown / Non-Applicable,-1,60,110 
183,Human Capital Data Analyst,4.5, 500 , Private,Staffing & Outsourcing,Unknown / Non-Applicable,"Beacon Hill Staffing Group, PageGroup, Solomon Page",60,110 
184,GIS Data analyst,3.7, 5000 , Private,IT Services, 50 M ,-1,60,110 
185,Junior Data Analytics Solutions Analyst,3.1, 200 , Private,Consulting, 25 M ,-1,60,110 
186,Data Analyst,-1.0,-1,Other,-1,-1,-1,60,110 
187,Data Analyst w/Capital Markets,3.7, 200 , Private,Staffing & Outsourcing, 100 M ,-1,60,110 
188,"VP, Research Project Analyst/Data Management",3.7,10000 , Public,Investment Banking & Asset Management,10 B ,-1,60,110 
189,Food Data Analyst,3.2, 500 ,Other,Social Assistance, 50 M ,-1,60,110 
190,Data Management Analyst,3.6, 500 , Public,Staffing & Outsourcing, 100 M ,-1,60,110 
191,Data Governance Analyst,3.6,10000 , Public,Investment Banking & Asset Management,10 B ,"Deutsche Bank, Credit Suisse, Morgan Stanley",60,110 
192,"Data Analyst, Enterprise Analytics",3.7, 5000 , Public,Video Games, 2 B ,"Activision Blizzard, Electronic Arts",60,110 
193,Data Analytics Solutions Analyst - Mid with Security Clearance,3.1, 200 , Private,Consulting, 25 M ,-1,60,110 
194,Data Analyst Assistant,-1.0,-1,Other,-1,-1,-1,60,110 
195,Investment Management Summer Analyst Program - Office of COO: Data & Analytics,3.8,10000 , Public,Investment Banking & Asset Management,10 B ,-1,60,110 
196,Data Collection Analyst,4.1, 1000 ,Other,Health Care Services & Hospitals,Unknown / Non-Applicable,-1,60,110 
197,Data Collection Analyst,3.8, 10000 ,Other,Health Care Services & Hospitals, 1 B ,-1,60,110 
198,Sr Business /Data Analyst- Reference data,3.7, 5000 , Private,IT Services, 500 M ,"Persistent Systems (India), GlobalLogic, Synechron",60,110 
199,Data Analyst,4.7, 50 , Private,-1,Unknown / Non-Applicable,-1,60,110 
200,SENIOR DATA ANALYST,3.7,10000 ,Other,Health Care Services & Hospitals, 5 B ,-1,60,110 
201,Senior Data Analyst / Scientist,3.3, 50 , Private,Consulting,Less than 1 M ,-1,60,110 
202,Senior Data Analyst - Regulatory Reporting,3.4, 50 , Private,General Repair & Maintenance, 5 M ,-1,60,110 
203,Data Reporting Analyst,3.2, 500 ,Other,Social Assistance,Unknown / Non-Applicable,-1,60,110 
204,Data Governance Analyst,-1.0, 50 , Private,Architectural & Engineering Services, 5 M ,-1,60,110 
205,Data Analyst,-1.0,-1,Other,-1,-1,-1,60,110 
206,Senior Data Analyst (6-12 Month Contract-Remote),5.0, 50 , Private,Advertising & Marketing, 5 M ,-1,60,110 
207,"Principal Data Analyst, LATAM – Disney Streaming Services",3.6, 1000 , Private,Internet,Unknown / Non-Applicable,-1,60,110 
208,Data Analyst- Win 10 Migration- NYC,3.0, 50 , Private,IT Services, 5 M ,-1,60,110 
209,Data Analyst (35 hours/week),3.5, 500 ,Other,Social Assistance, 25 M ,-1,60,110 
210,Tech Business/Data Analyst,1.0, 50 , Private,IT Services,Less than 1 M ,-1,60,110 
211,Data Analyst,5.0, 200 , Private,IT Services, 100 M ,-1,41,78 
212,"Senior Data Analyst, Financial Services",5.0, 200 , Private,Research & Development,Unknown / Non-Applicable,-1,41,78 
213,"Enterprise Data, Financial Data Analyst - Content Design Specialist Contractor",3.8,10000 , Private,Computer Hardware & Software,Unknown / Non-Applicable,"Google, Goldman Sachs, Thomson Reuters",41,78 
214,Data Analyst,4.1, 200 , Private,Computer Hardware & Software, 50 M ,-1,41,78 
215,Data Analyst,3.3, 5000 ,Other,Social Assistance, 500 M ,-1,41,78 
216,Senior Data Analyst,-1.0,-1,Other,-1,-1,-1,41,78 
217,Data Remediation Analyst-EK020719A/JL,3.5, 50 , Private,Staffing & Outsourcing, 5 M ,-1,41,78 
218,Business Analyst - Chief Data Office,3.7,10000 , Public,Investment Banking & Asset Management,10 B ,-1,41,78 
219,"Senior Analyst, Data Instrumentation & Quality (Disney+)",4.0,10000 , Public,Motion Picture Production & Distribution,10 B ,"News Corp, WarnerMedia, NBCUniversal",41,78 
220,Sr. Data Analyst,3.4,10000 , Public,IT Services,10 B ,"Capgemini, Accenture, Deloitte",41,78 
221,Big Data Programmer Analyst,3.6, 500 , Public,Staffing & Outsourcing, 100 M ,-1,41,78 
222,Lead Data Analyst,-1.0, 50 , Private,-1,Unknown / Non-Applicable,-1,41,78 
223,Data Analyst,3.5, 200 , Private,Consulting, 25 M ,-1,41,78 
224,Data Governance Analyst,3.4, 1000 , Private,Staffing & Outsourcing, 50 M ,-1,41,78 
225,Client Service Data Analyst,4.1, 50 , Private,-1,Unknown / Non-Applicable,-1,41,78 
226,Financial Data Analyst - Accounting - D3529,4.2, 50 , Private,Computer Hardware & Software, 10 M ,-1,41,78 
227,Data / Business Analyst (SQL/Tableau),-1.0,-1,Other,-1,-1,-1,41,78 
228,"Data Processing & Performance Analyst New York, NY",2.7,10000 , Public,Security Services, 5 B ,"G4S, Loomis, GardaWorld",41,78 
229,Data Analyst,3.1, 500 , Public,IT Services, 25 M ,-1,41,78 
230,Senior Data Analyst,4.5, 200 , Private,Video Games,Unknown / Non-Applicable,-1,41,78 
231,Data Analyst-Junior Profiles also works-Only NY/NJ Candidates Please on w2 Only,4.8, 50 , Private,IT Services,Unknown / Non-Applicable,-1,41,78 
232,Business Analyst-Market Data,4.1, 1000 , Private,Staffing & Outsourcing, 500 M ,-1,41,78 
233,Content Analyst/Data BA-Bus/Tech Strategy - Investment Bank,3.0, 500 , Private,Computer Hardware & Software, 50 M ,-1,41,78 
234,Data Analyst,2.7, 5000 ,Other,Health Care Services & Hospitals,Unknown / Non-Applicable,"Northwell Health, Stony Brook University Medical, Catholic Health Services of Long Island",41,78 
235,"Senior Analyst, AB Testing and Data Operations",3.5, 5000 , Public,Enterprise Software & Network Solutions, 500 M ,-1,41,78 
236,Data Warehouse Analyst,-1.0, 50 , Private,-1,Unknown / Non-Applicable,-1,41,78 
237,Data Analyst I - Geriatrics and Palliative Care,3.1, 5000 ,Other,Health Care Services & Hospitals, 1 B ,-1,41,78 
238,Data Analyst,5.0, 50 , Private,Advertising & Marketing,Less than 1 M ,-1,41,78 
239,Senior Business and Data Analyst,3.9,10000 , Public,Investment Banking & Asset Management,10 B ,-1,41,78 
240,Data Analyst II,3.8,10000 , Public,Enterprise Software & Network Solutions,10 B ,"Accenture, CGI, Sopra Steria",45,88 
241,Data Analyst II,3.0, 500 ,Other,Health Care Services & Hospitals, 100 M ,-1,45,88 
242,Data Analyst (35 hours/week),3.2, 50 , Public,-1,Unknown / Non-Applicable,-1,45,88 
243,Lead Generation Data Analyst,3.3, 5000 , Private,Investment Banking & Asset Management, 5 B ,"Morgan Stanley, Goldman Sachs",45,88 
244,"DnA Ambassador (Clinical Business Analyst - Level 1), Data & Analytics/Re-post",3.6, 10000 , Public,Health Care Services & Hospitals,Unknown / Non-Applicable,-1,45,88 
245,Data Analyst I - Genetics & Genomic Sciences,3.1, 5000 ,Other,Health Care Services & Hospitals, 1 B ,-1,45,88 
246,Data Reporting Analyst III,3.6, 5000 ,Other,Insurance Carriers,10 B ,"UnitedHealth Group, Cigna, Aetna",45,88 
247,Reporting Analyst Data Analyst,-1.0,-1,Other,-1,-1,-1,45,88 
248,Data Analyst - CBCH,3.9,10000 ,Other,Colleges & Universities, 5 B ,-1,45,88 
249,"Principal Data Analyst, LATAM Disney Streaming Services",4.0,10000 , Public,Motion Picture Production & Distribution,10 B ,"News Corp, WarnerMedia, NBCUniversal",45,88 
250,Data Engineer/Data Analyst,3.9, 1000 , Private,IT Services, 500 M ,-1,45,88 
251,Technical Business/Data Analyst,3.8,10000 , Public,Enterprise Software & Network Solutions,10 B ,"Accenture, CGI, Sopra Steria",73,127 
252,CRM Data Performance Analyst,4.9, 200 , Private,Gambling,Unknown / Non-Applicable,-1,73,127 
253,eCommerce Data Analyst,-1.0,-1,Other,-1,-1,-1,73,127 
254,Senior Data Analyst - Rochade,3.6, 5000 , Public,IT Services, 1 B ,-1,73,127 
255,Financial Data Analyst,-1.0,-1,Other,-1,-1,-1,73,127 
